image_path,room_type,condition_score,split
kitchen/modern/kitchen_modern_224.jpg,kitchen,4.5,train
living_room/boho/living_room_boho_123.jpg,living room,3.2,train
kitchen/industrial/kitchen_industrial_220.jpg,kitchen,3.0,train
bedroom/minimalist/bedroom_minimalist_151.jpg,bedroom,3.5,train
bathroom/scandinavian/bathroom_scandinavian_114.jpg,bathroom,4.0,train
bedroom/industrial/bedroom_industrial_193.jpg,bedroom,3.0,train
kitchen/industrial/kitchen_industrial_30.jpg,kitchen,3.0,train
kitchen/industrial/kitchen_industrial_219.jpg,kitchen,3.0,train
kitchen/modern/kitchen_modern_326.jpg,kitchen,4.5,train
bathroom/modern/bathroom_modern_99.jpg,bathroom,4.5,train
kitchen/minimalist/kitchen_minimalist_114.jpg,kitchen,3.5,train
bedroom/scandinavian/bedroom_scandinavian_127.jpg,bedroom,4.0,train
kitchen/minimalist/kitchen_minimalist_122.jpg,kitchen,3.5,train
living_room/minimalist/living_room_minimalist_179.jpg,living room,3.5,train
bedroom/modern/bedroom_modern_57.jpg,bedroom,4.5,train
living_room/scandinavian/living_room_scandinavian_151.jpg,living room,4.0,train
bedroom/boho/bedroom_boho_2.jpg,bedroom,3.2,train
living_room/boho/living_room_boho_182.jpg,living room,3.2,train
living_room/scandinavian/living_room_scandinavian_161.jpg,living room,4.0,train
kitchen/modern/kitchen_modern_270.jpg,kitchen,4.5,train
bedroom/minimalist/bedroom_minimalist_146.jpg,bedroom,3.5,train
bedroom/modern/bedroom_modern_167.jpg,bedroom,4.5,train
bedroom/minimalist/bedroom_minimalist_181.jpg,bedroom,3.5,train
bedroom/scandinavian/bedroom_scandinavian_125.jpg,bedroom,4.0,train
bathroom/modern/bathroom_modern_67.jpg,bathroom,4.5,train
kitchen/boho/kitchen_boho_220.jpg,kitchen,3.2,train
living_room/industrial/living_room_industrial_59.jpg,living room,3.0,train
bedroom/minimalist/bedroom_minimalist_83.jpg,bedroom,3.5,train
bedroom/scandinavian/bedroom_scandinavian_96.jpg,bedroom,4.0,train
kitchen/boho/kitchen_boho_105.jpg,kitchen,3.2,train
kitchen/modern/kitchen_modern_306.jpg,kitchen,4.5,train
living_room/modern/living_room_modern_240.jpg,living room,4.5,train
bathroom/boho/bathroom_boho_38.jpg,bathroom,3.2,train
kitchen/boho/kitchen_boho_316.jpg,kitchen,3.2,train
living_room/modern/living_room_modern_173.jpg,living room,4.5,train
kitchen/boho/kitchen_boho_21.jpg,kitchen,3.2,train
bedroom/scandinavian/bedroom_scandinavian_27.jpg,bedroom,4.0,train
bedroom/industrial/bedroom_industrial_36.jpg,bedroom,3.0,train
bedroom/modern/bedroom_modern_150.jpg,bedroom,4.5,train
living_room/modern/living_room_modern_151.jpg,living room,4.5,train
bathroom/minimalist/bathroom_minimalist_148.jpg,bathroom,3.5,train
bedroom/modern/bedroom_modern_22.jpg,bedroom,4.5,train
living_room/minimalist/living_room_minimalist_62.jpg,living room,3.5,train
kitchen/modern/kitchen_modern_244.jpg,kitchen,4.5,train
kitchen/modern/kitchen_modern_376.jpg,kitchen,4.5,train
bedroom/boho/bedroom_boho_48.jpg,bedroom,3.2,train
bathroom/minimalist/bathroom_minimalist_125.jpg,bathroom,3.5,train
living_room/modern/living_room_modern_126.jpg,living room,4.5,train
bedroom/boho/bedroom_boho_93.jpg,bedroom,3.2,train
bathroom/boho/bathroom_boho_115.jpg,bathroom,3.2,train
kitchen/modern/kitchen_modern_36.jpg,kitchen,4.5,train
kitchen/minimalist/kitchen_minimalist_149.jpg,kitchen,3.5,train
bathroom/scandinavian/bathroom_scandinavian_77.jpg,bathroom,4.0,train
kitchen/modern/kitchen_modern_349.jpg,kitchen,4.5,train
living_room/boho/living_room_boho_85.jpg,living room,3.2,train
kitchen/boho/kitchen_boho_304.jpg,kitchen,3.2,train
kitchen/industrial/kitchen_industrial_239.jpg,kitchen,3.0,train
living_room/modern/living_room_modern_19.jpg,living room,4.5,train
kitchen/modern/kitchen_modern_124.jpg,kitchen,4.5,train
bedroom/minimalist/bedroom_minimalist_1.jpg,bedroom,3.5,train
bathroom/scandinavian/bathroom_scandinavian_10.jpg,bathroom,4.0,train
bathroom/industrial/bathroom_industrial_44.jpg,bathroom,3.0,train
kitchen/industrial/kitchen_industrial_64.jpg,kitchen,3.0,train
kitchen/boho/kitchen_boho_63.jpg,kitchen,3.2,train
kitchen/boho/kitchen_boho_355.jpg,kitchen,3.2,train
kitchen/scandinavian/kitchen_scandinavian_114.jpg,kitchen,4.0,train
kitchen/industrial/kitchen_industrial_299.jpg,kitchen,3.0,train
kitchen/modern/kitchen_modern_85.jpg,kitchen,4.5,train
living_room/minimalist/living_room_minimalist_12.jpg,living room,3.5,train
bedroom/minimalist/bedroom_minimalist_50.jpg,bedroom,3.5,train
living_room/industrial/living_room_industrial_136.jpg,living room,3.0,train
bedroom/industrial/bedroom_industrial_53.jpg,bedroom,3.0,train
kitchen/modern/kitchen_modern_83.jpg,kitchen,4.5,train
